"Match","Date","Tournament","Radiant","Dire","Winner","Round","Game","Time","Score"
"893553591","09/13/14","Game Show Dota 2 League","Empire","NaVi","DIRE","Semifinals","1","39.52","14 - 38"
"891872666","09/12/14","Game Show Dota 2 League","NaVi","VP","DIRE","Group Stage","1","38.23","7 - 34"
"891430458","09/12/14","Game Show Dota 2 League","NVMI","NaVi","RADIANT","Group Stage","1","32.78","18 - 4"
"889188120","09/11/14","Game Show Dota 2 League","HR","NaVi","DIRE","Group Stage","1","15.52","1 - 20"
"888647368","09/11/14","Game Show Dota 2 League","NaVi","Empire","DIRE","Group Stage","1","47.57","21 - 38"
"888070096","09/10/14","D2CL 4 Europe Qualifier","Fnatic.EU","NaVi","DIRE","Group Stage","2","56.45","33 - 47"
"887973391","09/10/14","D2CL 4 Europe Qualifier","Fnatic.EU","NaVi","RADIANT","Group Stage","1","53.43","42 - 23"
"887669478","09/10/14","ESL One NY Europe Qualifier","NaVi","Denial 3","RADIANT","UB Round of 16","2","26.98","38 - 22"
"887567453","09/10/14","ESL One NY Europe Qualifier","Denial 3","NaVi","DIRE","UB Round of 16","1","24.72","13 - 27"
"877672692","09/05/14","WEC Final","EG","NaVi","RADIANT","LB Quarterfinals","2","8.97","16 - 3"
"877576348","09/05/14","WEC Final","NaVi","EG","DIRE","LB Quarterfinals","1","35.62","21 - 38"
"875879763","09/05/14","WEC Final","NaVi","C9","DIRE","UB Semifinals","2","56.83","32 - 35"
"875699110","09/05/14","WEC Final","C9","NaVi","RADIANT","UB Semifinals","1","44.45","22 - 30"
"875170653","09/04/14","WEC Final","LGD.CDEC","NaVi","DIRE","UB Quarterfinals","2","32.22","16 - 35"
"875119806","09/04/14","WEC Final","NaVi","LGD.CDEC","RADIANT","UB Quarterfinals","1","24.93","39 - 13"
"870710983","09/02/14","EMC 2 Europe Prelims","NaVi","MYM 2","RADIANT","Group Stage","2","30.27","17 - 20"
"870605618","09/02/14","EMC 2 Europe Prelims","MYM 2","NaVi","DIRE","Group Stage","1","29.90","17 - 21"
"869508123","09/01/14","D2CL 4 Europe Qualifier","Alliance","NaVi","RADIANT","Group Stage","2","69.72","54 - 34"
"869419118","09/01/14","D2CL 4 Europe Qualifier","NaVi","Alliance","RADIANT","Group Stage","1","31.47","30 - 17"
"867938727","08/31/14","StarSeries X Europe","C9","NaVi","RADIANT","Group Stage","1","31.67","24 - 13"
"867815943","08/31/14","StarSeries X Europe","NaVi","Tinker","RADIANT","Group Stage","1","13.97","18 - 7"
"865863204","08/30/14","StarSeries X Europe","Cleave","NaVi","DIRE","Group Stage","1","32.03","25 - 34"
"865734183","08/30/14","StarSeries X Europe","KPG","NaVi","DIRE","Group Stage","1","23.50","14 - 33"
"863781667","08/29/14","EMC 2 Europe Prelims","NaVi","CST","DIRE","Group Stage","2","38.13","20 - 19"
"863706767","08/29/14","EMC 2 Europe Prelims","CST","NaVi","DIRE","Group Stage","1","24.98","9 - 17"
"863501951","08/29/14","StarSeries X Europe","NVMI","NaVi","DIRE","Group Stage","1","11.03","4 - 16"
"861583391","08/28/14","StarSeries X Europe","NEXT.kz","NaVi","DIRE","Group Stage","1","39.43","31 - 49"
"861453247","08/28/14","StarSeries X Europe","NaVi","Alliance","RADIANT","Group Stage","1","26.43","24 - 12"
"859729321","08/27/14","StarSeries X Europe","AS","NaVi","DIRE","Group Stage","1","28.97","5 - 14"
"857492900","08/26/14","EMC 2 Europe Prelims","NaVi","Power Rangers","RADIANT","Group Stage","2","40.35","38 - 20"
"857402984","08/26/14","EMC 2 Europe Prelims","Power Rangers","NaVi","DIRE","Group Stage","1","20.35","3 - 22"
"785453168","07/19/14","The International 2014","C9","NaVi","RADIANT","LB Round of 16","3","31.73","38 - 12"
"785389859","07/19/14","The International 2014","NaVi","C9","RADIANT","LB Round of 16","2","21.42","23 - 9"
"785298771","07/19/14","The International 2014","C9","NaVi","RADIANT","LB Round of 16","1","33.92","21 - 9"
"776341481","07/14/14","The International 2014","NaVi","Nb","DIRE","Phase 3 B Semifinals","2","20.30","4 - 26"
"776279238","07/14/14","The International 2014","NaVi","Nb","DIRE","Phase 3 B Semifinals","1","34.65","11 - 20"
"772432494","07/12/14","The International 2014","NaVi","Alliance","DIRE","Group Stage","1","66.33","17 - 24"
"772338691","07/12/14","The International 2014","NaVi","Nb","RADIANT","Group Stage","1","32.83","30 - 21"
"771242116","07/11/14","The International 2014","NaVi","iG","DIRE","Group Stage","1","42.57","14 - 36"
"771086362","07/11/14","The International 2014","Arrow","NaVi","DIRE","Group Stage","1","25.17","9 - 16"
"770923178","07/11/14","The International 2014","NaVi","DK","DIRE","Group Stage","1","54.45","18 - 27"
"770826349","07/11/14","The International 2014","NaVi","Liquid","RADIANT","Group Stage","1","64.08","33 - 47"
"770545864","07/11/14","The International 2014","NaVi.US","NaVi","RADIANT","Group Stage","1","39.92","31 - 19"
"769387354","07/10/14","The International 2014","NaVi","LGD.cn","RADIANT","Group Stage","1","24.45","24 - 11"
"769229353","07/10/14","The International 2014","NaVi","EG","DIRE","Group Stage","1","44.27","14 - 27"
"768999679","07/10/14","The International 2014","Titan","NaVi","RADIANT","Group Stage","1","58.78","24 - 17"
"768904872","07/10/14","The International 2014","NaVi","C9","RADIANT","Group Stage","1","44.20","34 - 23"
"767701332","07/09/14","The International 2014","Empire","NaVi","DIRE","Group Stage","1","44.27","30 - 39"
"767553808","07/09/14","The International 2014","mouz","NaVi","DIRE","Group Stage","1","32.88","18 - 35"
"767481166","07/09/14","The International 2014","NaVi","VG","RADIANT","Group Stage","1","25.25","26 - 12"
"767386648","07/09/14","The International 2014","Fnatic.EU","NaVi","RADIANT","Group Stage","1","21.95","27 - 10"
"748188154","06/29/14","ESL Frankfurt Finals","EG","NaVi","RADIANT","Quarterfinals","2","54.70","23 - 24"
"748080585","06/29/14","ESL Frankfurt Finals","NaVi","EG","DIRE","Quarterfinals","1","44.77","13 - 26"
"739682788","06/24/14","D2L Western Challenge","NaVi","EG","DIRE","Finals","3","44.25","16 - 27"
"739558954","06/24/14","D2L Western Challenge","EG","NaVi","RADIANT","Finals","2","53.43","33 - 31"
"739478650","06/24/14","D2L Western Challenge","NaVi","EG","DIRE","Finals","1","21.43","7 - 20"
"738020850","06/23/14","D2L Western Challenge","NaVi","Fnatic.EU","RADIANT","LB Finals","2","29.50","33 - 20"
"737927528","06/23/14","D2L Western Challenge","Fnatic.EU","NaVi","DIRE","LB Finals","1","39.67","14 - 39"
"737730475","06/23/14","D2L Western Challenge","NaVi","Empire","RADIANT","LB Semifinals","2","25.82","27 - 21"
"737643236","06/23/14","D2L Western Challenge","Empire","NaVi","DIRE","LB Semifinals","1","25.93","13 - 27"
"734104568","06/21/14","D2L Western Challenge","NaVi","RoX.KIS","RADIANT","LB Quarterfinals","3","11.78","13 - 6"
"734015890","06/21/14","D2L Western Challenge","RoX.KIS","NaVi","DIRE","LB Quarterfinals","2","35.08","10 - 28"
"733924147","06/21/14","D2L Western Challenge","RoX.KIS","NaVi","RADIANT","LB Quarterfinals","1","40.00","33 - 24"
"731643585","06/20/14","D2L Western Challenge","Fnatic.EU","NaVi","RADIANT","UB Quarterfinals","3","38.75","48 - 23"
"731497922","06/20/14","D2L Western Challenge","Fnatic.EU","NaVi","DIRE","UB Quarterfinals","2","54.97","34 - 30"
"731390439","06/20/14","D2L Western Challenge","NaVi","Fnatic.EU","DIRE","UB Quarterfinals","1","26.00","8 - 26"
"706788951","06/07/14","The Summit Finals","EG","NaVi","RADIANT","LB Semifinals","2","32.05","26 - 14"
"706726098","06/07/14","The Summit Finals","NaVi","EG","DIRE","LB Semifinals","1","36.75","8 - 27"
"706343843","06/07/14","The Summit Finals","NaVi.US","NaVi","DIRE","LB Quarterfinals","3","71.22","25 - 49"
"706263218","06/07/14","The Summit Finals","NaVi","NaVi.US","RADIANT","LB Quarterfinals","2","31.47","25 - 7"
"706193846","06/07/14","The Summit Finals","NaVi.US","NaVi","RADIANT","LB Quarterfinals","1","15.23","19 - 1"
"704668455","06/06/14","The Summit Finals","NaVi","VG","DIRE","UB Semifinals","3","32.62","3 - 25"
"704626736","06/06/14","The Summit Finals","NaVi","VG","RADIANT","UB Semifinals","2","22.22","20 - 10"
"704574043","06/06/14","The Summit Finals","VG","NaVi","RADIANT","UB Semifinals","1","38.07","20 - 12"
"703872308","06/06/14","The Summit Finals","NaVi.US","NaVi","DIRE","Group Stage","1","43.50","23 - 40"
"702784763","06/05/14","The Summit Finals","Fnatic.EU","NaVi","DIRE","Group Stage","1","39.77","15 - 36"
"702559658","06/05/14","The Summit Finals","EG","NaVi","DIRE","Group Stage","1","58.05","27 - 42"
"702325332","06/05/14","The Summit Finals","NaVi","DK","DIRE","Group Stage","1","53.13","23 - 44"
"702215679","06/05/14","The Summit Finals","NaVi","VG","DIRE","Group Stage","1","35.93","16 - 29"
"687514266","05/29/14","D2CL Season 3","RoX.KIS","NaVi","RADIANT","Round of 16","2","28.03","30 - 12"
"687404453","05/29/14","D2CL Season 3","RoX.KIS","NaVi","RADIANT","Round of 16","1","30.82","35 - 15"
"656905981","05/12/14","D2CL Season 3","Empire","NaVi","RADIANT","Group Stage","2","20.83","34 - 13"
"656818339","05/12/14","D2CL Season 3","NaVi","Empire","DIRE","Group Stage","1","39.83","20 - 30"
"655226059","05/11/14","D2CL Season 3","Power Rangers","NaVi","RADIANT","Group Stage","2","27.55","31 - 10"
"655163036","05/11/14","D2CL Season 3","Power Rangers","NaVi","DIRE","Group Stage","1","35.37","12 - 24"
"652992527","05/10/14","DreamLeague Season 1 Prelims","C9","NaVi","RADIANT","Group Stage","1","41.15","32 - 21"
"648005989","05/07/14","DreamLeague Season 1 Prelims","VP","NaVi","DIRE","Group Stage","1","31.78","13 - 38"
"647827195","05/07/14","D2CL Season 3","dt168","NaVi","DIRE","Group Stage","2","26.28","17 - 28"
"647746541","05/07/14","D2CL Season 3","dt168","NaVi","DIRE","Group Stage","1","23.25","16 - 27"
"646331452","05/06/14","D2CL Season 3","NaVi","Fnatic.EU","DIRE","Group Stage","2","59.48","39 - 52"
"646231314","05/06/14","D2CL Season 3","NaVi","Fnatic.EU","DIRE","Group Stage","1","37.72","13 - 26"
"644960012","05/05/14","D2CL Season 3","NEXT.kz","NaVi","DIRE","Group Stage","2","23.13","10 - 23"
"644882127","05/05/14","D2CL Season 3","NEXT.kz","NaVi","DIRE","Group Stage","1","36.07","33 - 34"
"644745895","05/05/14","DreamLeague Season 1 Prelims","DOG","NaVi","RADIANT","Group Stage","1","27.35","21 - 8"
"622691036","04/22/14","D2L Western Challenge","RoX.KIS","NaVi","DIRE","Group Stage","2","22.10","12 - 18"
"622620781","04/22/14","D2L Western Challenge","RoX.KIS","NaVi","DIRE","Group Stage","1","25.90","19 - 30"
"617582191","04/19/14","StarSeries IX Finals","NaVi","iG","DIRE","LB Quarterfinals","1","32.43","11 - 32"
"617246742","04/19/14","StarSeries IX Finals","NaVi","MVP Phoenix","RADIANT","LB Round of 16","1","36.37","24 - 12"
"616024431","04/18/14","StarSeries IX Finals","RoX.KIS","NaVi","DIRE","Tiebreaker","1","40.37","11 - 30"
"615876787","04/18/14","StarSeries IX Finals","NaVi","iG","DIRE","Tiebreaker","1","30.45","4 - 22"
"615476383","04/18/14","StarSeries IX Finals","RoX.KIS","NaVi","RADIANT","Group Stage","1","54.20","23 - 27"
"614561530","04/17/14","StarSeries IX Finals","NaVi","iG","RADIANT","Group Stage","1","39.88","27 - 11"
"614053512","04/17/14","StarSeries IX Finals","EG","NaVi","RADIANT","Group Stage","1","45.13","27 - 21"
"613377902","04/16/14","D2L Western Challenge","NaVi","Fnatic.EU","DIRE","Group Stage","2","30.58","20 - 63"
"613320799","04/16/14","D2L Western Challenge","Fnatic.EU","NaVi","RADIANT","Group Stage","1","30.37","26 - 9"
"613149649","04/16/14","DreamLeague Season 1 Prelims","NaVi","Liquid","DIRE","Group Stage","1","53.58","23 - 24"
"611936738","04/15/14","D2CL 2","NaVi","C9","RADIANT","Finals","4","24.67","33 - 4"
"611877061","04/15/14","D2CL 2","C9","NaVi","DIRE","Finals","3","30.72","12 - 25"
"611804398","04/15/14","D2CL 2","C9","NaVi","RADIANT","Finals","2","32.38","26 - 12"
"611720889","04/15/14","D2CL 2","C9","NaVi","DIRE","Finals","1","33.02","16 - 19"
"610550812","04/14/14","D2L Western Challenge","NaVi","Alliance","RADIANT","Group Stage","3","41.03","37 - 27"
"610510725","04/14/14","D2L Western Challenge","NaVi","Alliance","RADIANT","Group Stage","2","27.92","24 - 6"
"610447143","04/14/14","D2L Western Challenge","Alliance","NaVi","RADIANT","Group Stage","1","38.27","30 - 22"
"610263617","04/14/14","DreamLeague Season 1 Prelims","Alliance","NaVi","RADIANT","Group Stage","1","33.70","16 - 4"
"608911508","04/13/14","D2L Western Challenge","EG","NaVi","DIRE","Group Stage","3","20.95","9 - 21"
"608853217","04/13/14","D2L Western Challenge","EG","NaVi","RADIANT","Group Stage","2","15.67","21 - 4"
"608748647","04/13/14","D2L Western Challenge","NaVi","EG","RADIANT","Group Stage","1","36.90","29 - 10"
"601028596","04/08/14","DreamLeague Season 1 Prelims","MYM 2","NaVi","DIRE","Group Stage","1","30.18","26 - 42"
"600946678","04/08/14","DreamLeague Season 1 Prelims","RoX.KIS","NaVi","DIRE","Group Stage","1","24.42","13 - 24"
"599732001","04/07/14","D2L Western Challenge","NaVi","C9","DIRE","Group Stage","3","21.00","12 - 25"
"599680090","04/07/14","D2L Western Challenge","C9","NaVi","RADIANT","Group Stage","2","45.23","45 - 21"
